Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,11462271,lukaszl,"2024-01-25 11:09:13",0.90180,33,lukaszl
2,11462159,"Nikolay Slobodchuk","2024-01-27 12:25:28",0.89899,33,nslobodchuk
3,11460633,"Iqbal Syah Akbar","2024-01-28 10:11:46",0.89879,35,iqbalsyahakbar
4,11472513,Jimbojetset,"2024-01-26 14:42:04",0.89792,17,jwhamilton
5,11462903,kailai,"2024-01-28 06:31:01",0.89790,59,kailai
6,11517477,Davigo,"2024-01-27 02:53:19",0.89769,18,davigo
7,11464023,"Nataliia Limanska","2024-01-28 12:02:49",0.89766,115,natalialimanska
8,11514741,"Aravind Pillai","2024-01-28 10:34:35",0.89755,62,aspillai
9,11512722,"1031 Team","2024-01-28 10:06:53",0.89755,31,"kunyiiii,myzhangdada"
10,11494567,KumaNeko08,"2024-01-27 10:47:15",0.89745,49,"h4rejp,qlpoqlp,satomao"
11,11536178,Emanuelludo,"2024-01-27 11:27:21",0.89738,27,emanuelludo
12,11460791,Chinmaya,"2024-01-28 09:39:28",0.89719,85,chinmayadatt
13,11518453,Nikolay,"2024-01-27 15:53:35",0.89718,27,rezbakaka
14,11499802,"Marionette 👺","2024-01-28 11:11:47",0.89689,39,vencerlanz09
15,11475626,sia,"2024-01-27 12:20:02",0.89683,45,sia042
16,11552816,JinchengZhang1,"2024-01-28 04:42:27",0.89676,20,jinchengzhang1
17,11460617,"Yan Teixeira","2024-01-27 04:12:20",0.89673,47,yantxx
18,11461951,"The Churn Busters","2024-01-28 05:28:45",0.89673,105,"iworeushankaonce,samvelkoch,viliuspstininkas"
19,11516839,ZivanWan,"2024-01-28 11:05:21",0.89666,19,zivanwan
20,11522065,"Shahab Hasan","2024-01-28 09:19:17",0.89663,32,shahabhasan
21,11517802,"Thiago Lima","2024-01-27 04:02:52",0.89659,30,"thiagolimasantos,yeshuat"
22,11468130,"Arda Orçun","2024-01-28 04:57:22",0.89653,26,ardaorcun
23,11460630,tdoh86,"2024-01-26 22:17:52",0.89652,68,tdoh86
24,11460624,"Ravi Ramakrishnan","2024-01-27 09:24:40",0.89651,35,ravi20076
25,11480420,Ali,"2024-01-27 12:50:25",0.89651,15,aliabbasi
26,11509393,Goodnight,"2024-01-27 12:53:35",0.89651,2,mohammedarbi
27,11462679,"Umair Zia","2024-01-27 13:08:04",0.89651,4,stealthtechnologies
28,11558881,mfmfmf3,"2024-01-27 13:14:11",0.89651,10,mfmfmf3
29,11488996,"Anil Reddy","2024-01-27 13:32:25",0.89651,11,anilreddyvv
30,11503298,"yuli Yansuo","2024-01-28 02:59:43",0.89651,51,yuliyansuo
31,11469740,HappyLizard,"2024-01-28 05:00:22",0.89651,7,knightknight
32,11462623,HaoQingSong,"2024-01-28 07:48:36",0.89651,27,haoqingsong
33,11465011,"Anil Yagiz","2024-01-28 08:23:36",0.89651,4,anilyagiz
34,11514301,n3onnhowever,"2024-01-28 09:37:13",0.89651,6,n3onnhowever
35,11488540,"Takumi Ishii","2024-01-28 10:24:13",0.89651,30,takumiishii
36,11460602,"Oscar Aguilar","2024-01-28 02:44:48",0.89639,38,oscarm524
37,11469916,YangAoTian,"2024-01-26 10:42:28",0.89639,22,"larjeck,yangaotian"
38,11462114,"Crash & Churn","2024-01-25 15:38:13",0.89638,8,paddykb
39,11490527,"Ivan Guschin","2024-01-28 07:03:13",0.89637,47,ivanguschin
40,11483122,BrainAI_hwlee,"2024-01-23 16:03:14",0.89636,15,leeheewon01
41,11518870,"ankur garg","2024-01-28 08:58:54",0.89635,38,ankurgarg04
42,11515426,"Vipin Kumar","2024-01-26 10:25:44",0.89635,9,vipin20
43,11472296,Lonnie,"2024-01-28 06:48:06",0.89634,21,lonnieqin
44,11462583,"Master Jiraiya","2024-01-28 11:33:34",0.89634,25,arunklenin
45,11460622,kglctf,"2024-01-26 23:53:02",0.89633,23,kglctf
46,11487287,"Joshua Dovey","2024-01-28 12:06:24",0.89632,22,joshuadovey
47,11501763,"Faisal Alsrheed","2024-01-25 02:28:58",0.89632,7,faisalalsrheed
48,11460788,"Evseev Sergey","2024-01-27 04:42:48",0.89631,68,veirding
49,11467904,"Mohamed Zaghloula","2024-01-23 15:16:37",0.89628,6,mohamedzaghloula
50,11526224,"Mikhail Naumov","2024-01-27 17:46:51",0.89627,34,mikhailnaumov
51,11488922,"Maehashi Tatsuya","2024-01-28 03:20:22",0.89626,53,maehashitatsuya
52,11462611,"Anushka Chathuranga","2024-01-24 07:00:05",0.89626,15,anuwaz
53,11471044,KYOJIN_29,"2024-01-27 02:42:55",0.89626,11,nikhilkushwaha2529
54,11538970,peter,"2024-01-27 03:32:26",0.89626,10,lumoumou
55,11554530,Steven_Y,"2024-01-28 01:24:01",0.89626,12,yyyu54
56,11465764,Rishwanthpb,"2024-01-27 06:17:27",0.89626,69,rishwanthpb
57,11554471,"Bharath Toutireddy","2024-01-27 08:37:54",0.89626,15,bharathtoutireddy
58,11563890,"MRIDUL MITTAL","2024-01-27 09:33:49",0.89626,4,mridul2003
59,11514864,"Cristian Leo","2024-01-28 04:16:16",0.89626,12,cristianle0
60,11568185,julyqq,"2024-01-28 09:31:19",0.89626,3,julyqq
61,11534525,DouDou,"2024-01-28 01:55:24",0.89624,12,"baichong,duhaowen,zhaoluhui"
62,11461652,bestwater,"2024-01-25 15:17:53",0.89623,39,bestwater
63,11552890,"GunHyun Jeong","2024-01-28 07:49:11",0.89622,8,gunhyunjeong
64,11467269,"Hidemasa Tonda","2024-01-28 00:14:25",0.89622,24,hidemasatonda
65,11495512,"Felix Wang","2024-01-28 03:33:44",0.89619,30,felixwang6
66,11531233,doubleLy,"2024-01-28 01:30:48",0.89619,13,doublely
67,11464037,llorenzo,"2024-01-28 10:21:59",0.89618,50,llorenzok
68,11468958,Kazoric,"2024-01-24 18:53:51",0.89618,9,kazoric
69,11520999,Satwik,"2024-01-27 15:57:49",0.89618,30,sinhasatwik
70,11559384,"Zhao Su","2024-01-26 05:59:22",0.89618,1,zhaosu
71,11555915,"MohamedDehmani TEMANI","2024-01-28 02:05:18",0.89618,2,mohameddehmanitemani
